epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1192.9,0.69892,4.54546,0.3861,0.93096,1.15606,0.67541,0.61369,0.69038,0.4745,0.49801,0.29207,0.25773,0.10873,1.481,5.16497,0.11421,1.17006,2.51442,0.000441508,0.000441508,0.000441508
106,1204.25,0.68895,4.56908,0.38267,0.91519,1.15212,0.56473,0.60497,0.72533,0.51397,0.41742,0.33754,0.30241,0.11887,1.29937,5.21704,0.11148,1.21862,2.24777,0.000440408,0.000440408,0.000440408
107,1215.56,0.68233,4.29597,0.37708,0.91713,1.14267,0.69605,0.52389,0.71541,0.50802,0.54553,0.30525,0.28673,0.12711,1.19897,5.14496,0.08629,1.06033,2.07277,0.000439307,0.000439307,0.000439307
108,1226.92,0.67313,4.57379,0.37735,0.8956,1.14546,0.49415,0.76838,0.71379,0.46823,0.3782,0.33963,0.25452,0.12069,1.51442,5.22275,0.11987,0.99613,2.41793,0.000438206,0.000438206,0.000438206
109,1238.21,0.6963,4.55199,0.38723,0.94086,1.181,0.53068,0.56605,0.67066,0.4223,0.53496,0.31913,0.28105,0.13437,1.58827,5.3239,0.10418,1.4174,2.40105,0.000437105,0.000437105,0.000437105
110,1249.56,0.68794,4.39212,0.38479,0.94435,1.14957,0.49247,0.73952,0.6719,0.42608,0.38326,0.29514,0.27832,0.12229,1.42675,5.10704,0.08023,1.23706,2.11672,0.000436004,0.000436004,0.000436004
111,1260.86,0.68495,4.37646,0.36431,0.95497,1.15615,0.66863,0.6148,0.68853,0.46474,0.56108,0.29938,0.25782,0.11697,1.34751,5.08328,0.10362,1.2852,2.0501,0.000434903,0.000434903,0.000434903
112,1272.17,0.68049,4.48675,0.38622,0.89868,1.13167,0.43504,0.84652,0.71612,0.48269,0.74526,0.24641,0.37928,0.15033,1.40666,5.07802,0.09738,1.23984,2.29382,0.000433802,0.000433802,0.000433802
113,1283.48,0.68532,4.30828,0.37509,0.94316,1.15544,0.49927,0.81552,0.73106,0.54147,0.64243,0.27573,0.26745,0.13815,1.14318,5.15755,0.08365,1.20735,1.91623,0.000432701,0.000432701,0.000432701
114,1294.99,0.70392,4.28503,0.38361,0.88667,1.15387,0.72114,0.54053,0.78038,0.53014,0.46243,0.32401,0.37412,0.14471,1.29593,5.06219,0.10723,1.20697,2.18558,0.000431601,0.000431601,0.000431601
