epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1112.53,0.39366,2.19215,0.29122,0.44085,0.96049,0.64357,0.59633,0.59857,0.43338,0.7047,0.54712,0.55038,0.27168,1.43104,3.13321,0.09462,1.1642,2.96115,0.000289037,0.000289037,0.000289037
99,1123.82,0.38155,2.35909,0.31241,0.44867,0.97382,0.5401,0.56934,0.56369,0.40219,0.69673,0.50809,0.41235,0.24172,1.43685,3.30649,0.06207,1.27535,3.03386,0.000286284,0.000286284,0.000286284
100,1135.12,0.38386,2.26141,0.31023,0.43184,0.97408,0.5742,0.57772,0.63456,0.46163,0.70341,0.49655,0.47808,0.29451,1.4451,3.22564,0.05537,1.2815,3.04086,0.000283532,0.000283532,0.000283532
101,1146.39,0.37894,2.38221,0.30811,0.43276,0.9657,0.4785,0.6923,0.63583,0.45898,0.72338,0.52776,0.56321,0.30034,1.44601,3.18108,0.08455,1.23034,3.05674,0.00028078,0.00028078,0.00028078
102,1157.72,0.39923,2.20578,0.30269,0.46221,0.98256,0.64342,0.66031,0.63948,0.44302,0.68857,0.58513,0.5468,0.2975,1.48411,3.48451,0.09461,1.3058,3.14844,0.000278028,0.000278028,0.000278028
103,1169.01,0.38686,2.08292,0.2956,0.42269,0.98093,0.57536,0.68687,0.61812,0.43111,0.51997,0.62575,0.5691,0.28101,1.47673,3.50473,0.07792,1.3725,3.08727,0.000275276,0.000275276,0.000275276
104,1180.37,0.38001,2.06545,0.29935,0.43144,0.97357,0.73964,0.58018,0.58437,0.41215,0.80066,0.52327,0.5273,0.28104,1.42498,3.33517,0.07234,1.24726,2.90192,0.000272523,0.000272523,0.000272523
105,1191.66,0.39369,2.25484,0.30628,0.43889,0.97833,0.6676,0.58343,0.61005,0.43098,0.73635,0.54399,0.54278,0.29361,1.42887,3.35605,0.07926,1.24251,2.914,0.000269771,0.000269771,0.000269771
106,1203.17,0.36853,2.19133,0.29755,0.44057,0.9731,0.7279,0.5401,0.60972,0.41649,0.7279,0.5401,0.56014,0.30895,1.47111,3.27324,0.06435,1.19918,3.09581,0.000267019,0.000267019,0.000267019
107,1214.46,0.37438,2.11861,0.29886,0.43998,0.9632,0.51929,0.67741,0.65462,0.45341,0.72249,0.51045,0.50922,0.28692,1.48992,3.45201,0.06298,1.21327,3.09215,0.000264267,0.000264267,0.000264267
108,1225.75,0.36475,2.1991,0.30088,0.42839,0.9574,0.54626,0.65756,0.64284,0.45229,0.60482,0.49733,0.48503,0.27612,1.46655,3.31257,0.08229,1.19489,3.08677,0.000261515,0.000261515,0.000261515
109,1237.01,0.37417,2.24455,0.31819,0.45714,0.98191,0.58272,0.68391,0.61666,0.43369,0.67004,0.51759,0.45632,0.25331,1.46041,3.3688,0.08231,1.26279,3.03315,0.000258762,0.000258762,0.000258762
110,1248.34,0.38435,2.21476,0.30425,0.4297,0.96945,0.59741,0.63607,0.67947,0.48717,0.80555,0.50597,0.48578,0.27835,1.437,3.26191,0.08171,1.16422,3.03857,0.00025601,0.00025601,0.00025601
111,1259.62,0.36662,2.09235,0.2862,0.43164,0.97308,0.61304,0.6274,0.5631,0.38009,0.70489,0.50737,0.43102,0.25276,1.46509,3.27543,0.06098,1.18325,3.1406,0.000253258,0.000253258,0.000253258
112,1270.93,0.37969,2.09729,0.30262,0.4215,0.963,0.6146,0.62554,0.62827,0.42377,0.71351,0.55428,0.57015,0.28949,1.46654,3.36368,0.06545,1.18055,3.13487,0.000250506,0.000250506,0.000250506
